GeneSymbol	P	z.score
AK4	4.42246895438282e-08	5.47309339017189
ILKAP	4.96074088122486e-07	-5.027825070411
FBXO38	7.37711430987046e-07	-4.95116336211258
CHIC2	5.32637293050734e-06	-4.55150421983294
AHCTF1	5.78938011823029e-06	-4.53393883180219
PRR16	7.34388761415597e-06	4.48347016049807
RYR2	7.9848121447778e-06	4.46559073689172
TOPORS	8.62937309828509e-06	-4.44894344912821
KAT8	9.15854342542506e-06	-4.43614202767628
KRTAP19-3	1.04089923894952e-05	4.40849811989597
MTMR9	1.1496781913876e-05	-4.3869185458064
HSPBAP1	1.59091698912952e-05	-4.31570864986596
ING3	2.18703155909766e-05	-4.24488746191489
AGTRAP	2.42288338326568e-05	4.22186581658034
CLK4	2.44249104889491e-05	-4.22004911030534
OGFRL1	2.70018877253794e-05	-4.1973814869783
VAMP3	4.65153542608701e-05	4.07247920502014
OGT	4.87991233134608e-05	-4.06130521752029
TSG101	5.38770678025898e-05	-4.03813838544462
MRPS36	8.26137383247075e-05	-3.93668848021185
SACS	8.37857354954392e-05	-3.93330522422257
ZNF559	8.52302203171752e-05	-3.92919636656795
IKZF3	9.14422535464035e-05	-3.91224452197691
CLEC4G	9.86959801112389e-05	3.89377553800887
MYO5A	0.000106544385971396	-3.87518348669784
APPBP2	0.000116241074376674	-3.85392108745544
NSUN6	0.000118146100677537	-3.84994137384456
PHIP	0.000130960848719986	-3.82464463086037
DGUOK	0.000131107117226363	-3.82436959338194
TM7SF2	0.000131198266164471	3.82419834674307
RPL13AP5	0.000131280793211096	-3.82404339521351
SGK2	0.00013245364085914	3.82185113969476
OPRM1	0.000134568503778095	3.8179439201999
LZTFL1	0.000134853320943105	-3.81742214583771
SP4	0.000143335667553361	-3.80234028783892
CDC23	0.000147548031479953	-3.79516040322396
ZKSCAN4	0.000148669472654695	-3.79328146850111
ACVR2B	0.00015733252382066	3.77920078580663
SNRK	0.000180711513427165	-3.74455816023221
NT5C2	0.000187664397492185	-3.7350680994925
TEX28	0.00020171926580322	3.7168535822989
FXYD7	0.000205063667470065	3.7126953530235
CLASP1	0.000208610763244084	-3.70835414704502
ZNF260	0.000213077257579498	-3.70298527083912
SLC25A16	0.000221262779921493	-3.69341466771629
NDEL1	0.000221875228356204	-3.69271201765355
SLC27A1	0.00024060426725902	3.67205883810146
TXNDC9	0.000249974960362644	-3.66228558277146
PMPCB	0.000250619038299355	-3.66162652140463
ZNF14	0.000251874009755351	-3.66034690555717
OSBPL8	0.000257978461184393	-3.6542066182356
GCK	0.000260914236903926	3.65130197541545
PMS2	0.000263216915343087	-3.64904508073138
PRSS16	0.000276822638750001	3.63607604856503
GNG8	0.000281725837709957	3.63154837122976
SNRNP48	0.000282198540334797	-3.63111578192308
C6orf201	0.000309332591261154	3.6073564362068
OR10A3	0.000327609574589908	3.5924292836453
DEC1	0.000346995087194836	3.57742548954369
HIST1H2BK	0.000361103653427661	3.5669911626649
ZCCHC8	0.000361553588572215	-3.56666471480463
EWSR1	0.000366813122126572	-3.56287660806649
SFRP4	0.000375028368670827	3.55706010789499
U2AF1	0.000383059599903871	-3.55148790358081
ITCH	0.000387678616888753	-3.54833241219092
ZNF622	0.000399313703256374	-3.54053695902772
CASP1	0.000403185338637654	3.53798999281325
FUT2	0.000403743023921641	3.53762500215828
GAS8	0.000413076963743338	3.53158507355936
XRCC6	0.000413558269039638	-3.53127709180116
ZNF140	0.00042086768431892	-3.52664057074648
TBC1D22B	0.000446850102905565	3.51074661826777
COL17A1	0.000450889945793317	3.50835323128143
SNF8	0.000463969720010258	-3.50073916071616
CLEC2D	0.00047924587756194	-3.49209605086196
NOL3	0.000479689506604594	3.49184890945516
ECD	0.000500104038339775	-3.48070067364765
SH2D4B	0.00050562493065192	3.47775866924095
C10orf90	0.000508821940172708	3.47606869214918
SLC46A1	0.000546390292243551	3.45691839036788
LMX1B	0.000569143251807983	3.4459083965135
IDS	0.00057961025917121	-3.44098052027833
TOPBP1	0.000586438168556227	-3.43781039650499
NFKBIZ	0.000590191029106282	3.43608258827361
KCTD17	0.000591087776769275	3.4356712419091
PPTC7	0.000673352899253888	-3.40020524293021
HBQ1	0.000681711441740784	3.3968306414491
TMEM135	0.000691265217442548	-3.39302027419704
ZNF137P	0.000697337840183368	-3.3906236712372
RNF145	0.000708202934802262	-3.38638367612038
SNU13	0.000722610057410796	-3.38085370172308
MRPS31	0.000732451092473125	-3.37713493433425
TCP10L	0.000747463027611886	3.37155061406921
GLYATL1	0.00074763395148293	-3.37148763358325
CLIP3	0.000748402262797667	3.37120469820307
GON4L	0.000771792681530723	-3.36271761613221
NOC3L	0.000777550485873483	-3.36066508271915
SUCLG2	0.000783336136970806	-3.35861678558418
TAS2R7	0.00079146441985256	3.35576272198566
FBXO8	0.00081068470132591	-3.34912070275325
DYSF	0.000823530307302275	3.34476259048141
ADAM5	0.000825506277955209	3.34409780952741
PURB	0.000898132177523982	-3.32063404641909
MCTS1	0.000917809504870977	-3.31457988509214
PAX7	0.000945157295900185	3.30636248762025
HIF1A	0.000946034366971932	-3.30610260997949
BANP	0.000951687517765668	-3.30443290750495
ADAM3A	0.000971259852586277	3.29872217765127
ANKLE2	0.000983620931627178	-3.2951701781512
PDK1	0.00100063960006393	-3.29034683776721
STAB2	0.00101068359025896	3.28753574101942
PSMD5	0.00103311849029037	-3.28134893487625
PCDHA8	0.00109963637500469	3.26371005224571
ATG5	0.00111443505390866	-3.25992035011622
EPS15L1	0.00112380689997228	-3.25754436486224
SAT2	0.00113415392506397	3.25494233258382
SLC25A36	0.00114775149742162	-3.25155603254859
SNORD18B	0.00116284791829521	-3.24783962958276
BAIAP2L1	0.00116330096533963	3.24772879008635
RBM4B	0.00116690910790451	-3.24684746702813
ZNF439	0.00116755296449759	-3.24669046378831
TTC27	0.00117966790447682	-3.24375107705131
TMPRSS11D	0.00120055592466964	3.23874800937988
ZNF706	0.00120655353409863	-3.23732633034374
CLIC6	0.00123485499403514	3.23070457719244
PRPS1L1	0.00124741899896698	3.22780976655988
COIL	0.00128818299339999	-3.21859943327923
PDCD2	0.00130392875345206	-3.21511367532011
RUNDC3A	0.00132354197011375	3.21082567858672
FAM133B	0.00132540299628723	-3.21042185754202
COL15A1	0.00132745420375365	3.20997737503848
RELB	0.00135329255050045	3.20443199685767
TIMM9	0.00138511105346812	-3.19773582581737
YARS2	0.00142555320040078	-3.18942663171459
ANOS1	0.00144711901424032	3.18508419010294
ICE1	0.00144815258331981	-3.18487757433298
MCOLN1	0.00147198658850114	3.18015034870776
ADK	0.00148505604796742	-3.17758802025034
PRPF39	0.00151166818014049	-3.17243418583454
TMEM41B	0.00153167865503577	-3.16861362446983
PCDH7	0.00159060653293954	3.15762385139579
TMEM184C	0.00159641311115141	-3.15656133089585
REEP1	0.00161905462620009	3.15245195557491
UGT2B11	0.00161941967719944	3.15238613410619
MGAT4C	0.00163347891662426	3.14986147987399
OR6A2	0.00163732609275818	3.14917411740358
CEP76	0.00164348079905723	-3.14807756069508
GFRA1	0.00165153139958107	-3.14664891107934
L3MBTL3	0.00165278210493926	-3.14642753778036
OR6N1	0.00168115466231841	3.1414465938614
BATF2	0.0017111303059947	3.13626753583593
TSPAN13	0.00173492604821895	-3.1322152897357
TMSB15A	0.00175862516348066	3.12822998077165
TPP2	0.00178349153821405	-3.12410111869462
EPSTI1	0.00178404193732068	3.12401032936011
TPM1	0.00180669204553865	3.12029630381212
DLK2	0.00181245617538442	3.1193579698528
RPL22	0.00182191674727237	-3.1178238257368
SEMA6D	0.00182567018715338	3.11721718848983
RAB31	0.0018260173783951	3.11716113278299
OSBP2	0.00183008211040578	3.11650558964379
KCNK13	0.00183161190735727	3.1162592168065
SLC17A4	0.00184312380863995	3.11441127390578
GNA11	0.00186276884943485	3.11128211350121
ENG	0.00190022685239645	3.10539871815057
NNAT	0.00192382891003001	3.1017460934321
CRHR1	0.00195218576461761	3.09741165215506
CHRNB3	0.00198148691113606	3.09299317663064
TREM2	0.00199803757095423	3.09052385067316
ZMYM1	0.00201639119185748	-3.08780738288145
CYP2S1	0.00202460463091802	3.08659907713492
FLJ13224	0.00202798115422488	3.08610365004033
TBP	0.00207503160045009	-3.07927770483891
ZCCHC2	0.00207943173239	-3.07864662666247
RPL17-C18orf32	0.00209852757630708	-3.07592196709454
ZC3HC1	0.00210304270861418	-3.07528105774292
